genus,family
Anemia,Anemiaceae
Asplenium,Aspleniaceae
Hymenasplenium,Aspleniaceae
Anisocampium,Athyriaceae
Athyrium,Athyriaceae
Cornopteris,Athyriaceae
Deparia,Athyriaceae
Diplazium,Athyriaceae
Pseudathyrium,Athyriaceae
Ephemeropteris,Athyriaceae
Anchistea,Blechnaceae
Austroblechnum,Blechnaceae
Blechnidium,Blechnaceae
Blechnopsis,Blechnaceae
Blechnum,Blechnaceae
Brainea,Blechnaceae
Cranfillia,Blechnaceae
Diploblechnum,Blechnaceae
Doodia,Blechnaceae
Lomaria,Blechnaceae
Lomaridium,Blechnaceae
Lomariocycas,Blechnaceae
Lorinseria,Blechnaceae
Neoblechnum,Blechnaceae
Oceaniopteris,Blechnaceae
Parablechnum,Blechnaceae
Sadleria,Blechnaceae
Salpichlaena,Blechnaceae
Spicantopsis,Blechnaceae
Stenochlaena,Blechnaceae
Struthiopteris,Blechnaceae
Telmatoblechnum,Blechnaceae
Woodwardia,Blechnaceae
Cleistoblechnum,Blechnaceae
Icarus,Blechnaceae
Cibotium,Cibotiaceae
Culcita,Culcitaceae
Alsophila,Cyatheaceae
Cyathea,Cyatheaceae
Sphaeropteris,Cyatheaceae
Acystopteris,Cystopteridaceae
Cystopteris,Cystopteridaceae
Gymnocarpium,Cystopteridaceae
Davallia,Davalliaceae
Blotiella,Dennstaedtiaceae
Dennstaedtia,Dennstaedtiaceae
Histiopteris,Dennstaedtiaceae
Hypolepis,Dennstaedtiaceae
Leptolepia,Dennstaedtiaceae
Microlepia,Dennstaedtiaceae
Monachosorum,Dennstaedtiaceae
Oenotrichia,Dennstaedtiaceae
Paesia,Dennstaedtiaceae
Pteridium,Dennstaedtiaceae
Hiya,Dennstaedtiaceae
Calochlaena,Dicksoniaceae
Dicksonia,Dicksoniaceae
Lophosoria,Dicksoniaceae
Diplaziopsis,Diplaziopsidaceae
Cheiropleuria,Dipteridaceae
Dipteris,Dipteridaceae
Mickelia,Dryopteridaceae
Arachniodes,Dryopteridaceae
Arthrobotrya,Dryopteridaceae
Atalopteris,Dryopteridaceae
Bolbitis,Dryopteridaceae
Ctenitis,Dryopteridaceae
Cyclodium,Dryopteridaceae
Cyrtomium,Dryopteridaceae
Dryopteris,Dryopteridaceae
Dryostichum,Dryopteridaceae
Elaphoglossum,Dryopteridaceae
Lastreopsis,Dryopteridaceae
Lomagramma,Dryopteridaceae
Maxonia,Dryopteridaceae
Megalastrum,Dryopteridaceae
Olfersia,Dryopteridaceae
Parapolystichum,Dryopteridaceae
Phanerophlebia,Dryopteridaceae
Polybotrya,Dryopteridaceae
Polystichopsis,Dryopteridaceae
Polystichum,Dryopteridaceae
Rumohra,Dryopteridaceae
Stigmatopteris,Dryopteridaceae
Teratophyllum,Dryopteridaceae
Trichoneuron,Dryopteridaceae
Equisetum,Equisetaceae
Dicranopteris,Gleicheniaceae
Diplopterygium,Gleicheniaceae
Gleichenella,Gleicheniaceae
Gleichenia,Gleicheniaceae
Sticherus,Gleicheniaceae
Stromatopteris,Gleicheniaceae
Rouxopteris,Gleicheniaceae
Abrodictyum,Hymenophyllaceae
Callistopteris,Hymenophyllaceae
Cephalomanes,Hymenophyllaceae
Crepidomanes,Hymenophyllaceae
Didymoglossum,Hymenophyllaceae
Hymenophyllum,Hymenophyllaceae
Polyphlebium,Hymenophyllaceae
Trichomanes,Hymenophyllaceae
Vandenboschia,Hymenophyllaceae
Hypodematium,Hypodematiaceae
Leucostegia,Hypodematiaceae
Isoetes,Isoetaceae
Lindsaea,Lindsaeaceae
Nesolindsaea,Lindsaeaceae
Odontosoria,Lindsaeaceae
Osmolindsaea,Lindsaeaceae
Sphenomeris,Lindsaeaceae
Tapeinidium,Lindsaeaceae
Xyropteris,Lindsaeaceae
Cyclopeltis,Lomariopsidaceae
Lomariopsis,Lomariopsidaceae
Loxsoma,Loxsomataceae
Loxsomopsis,Loxsomataceae
Austrolycopodium,Lycopodiaceae
Dendrolycopodium,Lycopodiaceae
Diphasiastrum,Lycopodiaceae
Diphasium,Lycopodiaceae
Huperzia,Lycopodiaceae
Lateristachys,Lycopodiaceae
Lycopodiastrum,Lycopodiaceae
Lycopodiella,Lycopodiaceae
Lycopodium,Lycopodiaceae
Palhinhaea,Lycopodiaceae
Phlegmariurus,Lycopodiaceae
Phylloglossum,Lycopodiaceae
Pseudodiphasium,Lycopodiaceae
Pseudolycopodiella,Lycopodiaceae
Pseudolycopodium,Lycopodiaceae
Spinulum,Lycopodiaceae
Lygodium,Lygodiaceae
Angiopteris,Marattiaceae
Christensenia,Marattiaceae
Danaea,Marattiaceae
Eupodium,Marattiaceae
Marattia,Marattiaceae
Ptisana,Marattiaceae
Marsilea,Marsileaceae
Pilularia,Marsileaceae
Regnellidium,Marsileaceae
Matonia,Matoniaceae
Phanerosorus,Matoniaceae
Metaxya,Metaxyaceae
Nephrolepis,Nephrolepidaceae
Oleandra,Oleandraceae
Matteuccia,Onocleaceae
Onoclea,Onocleaceae
Onocleopsis,Onocleaceae
Pentarhizidium,Onocleaceae
Botrychium,Ophioglossaceae
Botrypus,Ophioglossaceae
Cheiroglossa,Ophioglossaceae
Helminthostachys,Ophioglossaceae
Japanobotrychum,Ophioglossaceae
Mankyua,Ophioglossaceae
Ophioderma,Ophioglossaceae
Ophioglossum,Ophioglossaceae
Rhizoglossum,Ophioglossaceae
Sceptridium,Ophioglossaceae
Sahashia,Ophioglossaceae
Leptopteris,Osmundaceae
Osmunda,Osmundaceae
Osmundastrum,Osmundaceae
Plenasium,Osmundaceae
Todea,Osmundaceae
Claytosmunda,Osmundaceae
Plagiogyria,Plagiogyriaceae
Acrosorus,Polypodiaceae
Adenophorus,Polypodiaceae
Adetogramma,Polypodiaceae
Aglaomorpha,Polypodiaceae
Alansmia,Polypodiaceae
Archigrammitis,Polypodiaceae
Ascogrammitis,Polypodiaceae
Calymmodon,Polypodiaceae
Campyloneurum,Polypodiaceae
Ceradenia,Polypodiaceae
Chrysogrammitis,Polypodiaceae
Cochlidium,Polypodiaceae
Ctenopterella,Polypodiaceae
Dasygrammitis,Polypodiaceae
Dendroconche,Polypodiaceae
Dictymia,Polypodiaceae
Enterosora,Polypodiaceae
Galactodenia,Polypodiaceae
Goniophlebium,Polypodiaceae
Grammitis,Polypodiaceae
Gymnogrammitis,Polypodiaceae
Lecanopteris,Polypodiaceae
Lellingeria,Polypodiaceae
Lepisorus,Polypodiaceae
Leptochilus,Polypodiaceae
Leucotrichum,Polypodiaceae
Lomaphlebia,Polypodiaceae
Loxogramme,Polypodiaceae
Luisma,Polypodiaceae
Melpomene,Polypodiaceae
Microgramma,Polypodiaceae
Micropolypodium,Polypodiaceae
Microsorum,Polypodiaceae
Moranopteris,Polypodiaceae
Mycopteris,Polypodiaceae
