species,genus,family,species.relative,genus.relative
Woodwardia unigemmata,Woodwardia,Blechnaceae,,
Woodsia lanosa,Woodsia,Woodsiaceae,,
Woodsia hancockii,Woodsia,Woodsiaceae,,
Woodsia glabella,Woodsia,Woodsiaceae,,
Woodsia cycloloba,Woodsia,Woodsiaceae,,
Woodsia andersonii,Woodsia,Woodsiaceae,,
Vandenboschia striata,Vandenboschia,Hymenophyllaceae,,
Vandenboschia birmanica,Vandenboschia,Hymenophyllaceae,,
Vandenboschia auriculata,Vandenboschia,Hymenophyllaceae,,
Trigonospora tenera,Trigonospora,Thelypteridaceae,,
Lepisorus subhemionitideus,Lepisorus,Polypodiaceae,,
Lepisorus normalis,Lepisorus,Polypodiaceae,,
Tomophyllum donianum,Tomophyllum,Polypodiaceae,,
Tectaria polymorpha,Tectaria,Tectariaceae,,
Tectaria paradoxa,Tectaria,Tectariaceae,,
Tectaria heterocarpa,Tectaria,Tectariaceae
Tectaria griffithii,Tectaria,Tectariaceae
Tectaria gemmifera,Tectaria,Tectariaceae
Stenochlaena palustris,Stenochlaena,Blechnaceae
Stegnogramma mollissima,Stegnogramma,Thelypteridaceae
Sphaerostephanos validus,Sphaerostephanos,Thelypteridaceae
Sphaerostephanos latebrosus,Sphaerostephanos,Thelypteridaceae
Sphaeropteris chinensis,Sphaeropteris,Cyatheaceae
Sphaeropteris brunoniana,Sphaeropteris,Cyatheaceae
Selliguea tatsienensis,Selliguea,Polypodiaceae
Selliguea oxyloba,Selliguea,Polypodiaceae
Selliguea moulmeinensis,Selliguea,Polypodiaceae
Selliguea lehmannii,Selliguea,Polypodiaceae
Selliguea himalovata,Selliguea,Polypodiaceae
Selliguea griffithiana,Selliguea,Polypodiaceae
Selliguea capitellata,Selliguea,Polypodiaceae
Sceptridium schaffneri,Sceptridium,Ophioglossaceae
Sceptridium robustum,Sceptridium,Ophioglossaceae
Sceptridium daucifolium,Sceptridium,Ophioglossaceae
Salvinia natans,Salvinia,Salviniaceae
Pyrrosia porosa,Pyrrosia,Polypodiaceae
Pyrrosia nuda,Pyrrosia,Polypodiaceae
Pyrrosia mannii,Pyrrosia,Polypodiaceae
Pyrrosia lingua,Pyrrosia,Polypodiaceae
Pyrrosia lanceolata,Pyrrosia,Polypodiaceae
Pyrrosia flocculosa,Pyrrosia,Polypodiaceae
Pyrrosia costata,Pyrrosia,Polypodiaceae
Pyrrosia adnascens,Pyrrosia,Polypodiaceae
Pteris vittata,Pteris,Pteridaceae
Pteris venusta,Pteris,Pteridaceae
Pteris tibetica,Pteris,Pteridaceae
Pteris terminalis,Pteris,Pteridaceae
Pteris subquinata,Pteris,Pteridaceae
Pteris stenophylla,Pteris,Pteridaceae
Pteris spinescens,Pteris,Pteridaceae
Pteris semipinnata,Pteris,Pteridaceae
Pteris scabririgens,Pteris,Pteridaceae
Pteris roseolilacina,Pteris,Pteridaceae
Pteris puberula,Pteris,Pteridaceae
Pteris medogensis,Pteris,Pteridaceae
Pteris longipinnula,Pteris,Pteridaceae
Pteris longipes,Pteris,Pteridaceae
Pteris linearis,Pteris,Pteridaceae
Pteris kathmanduensis,Pteris,Pteridaceae
Pteris ensiformis,Pteris,Pteridaceae
Pteris dactylina,Pteris,Pteridaceae
Pteris cretica,Pteris,Pteridaceae
Pteris biaurita,Pteris,Pteridaceae
Pteris assamica,Pteris,Pteridaceae
Pteris aspericaulis,Pteris,Pteridaceae
Pteris arisanensis,Pteris,Pteridaceae
Pteridium aquilinum,Pteridium,Dennstaedtiaceae
Psilotum nudum,Psilotum,Psilotaceae
Pseudocyclosorus tylodes,Pseudocyclosorus,Thelypteridaceae
Pseudocyclosorus ornatipes,Pseudocyclosorus,Thelypteridaceae
Pseudocyclosorus esquirolii,Pseudocyclosorus,Thelypteridaceae
Pseudocyclosorus canus,Pseudocyclosorus,Thelypteridaceae
Pronephrium penangianum,Pronephrium,Thelypteridaceae
Pronephrium nudatum,Pronephrium,Thelypteridaceae
Pronephrium lakhimpurense,Pronephrium,Thelypteridaceae
Pronephrium articulatum,Pronephrium,Thelypteridaceae
Polystichum zayuense,Polystichum,Dryopteridaceae
Polystichum yunnanense,Polystichum,Dryopteridaceae
Polystichum thomsonii,Polystichum,Dryopteridaceae
Polystichum stimulans,Polystichum,Dryopteridaceae
Polystichum squarrosum,Polystichum,Dryopteridaceae
Polystichum sinense,Polystichum,Dryopteridaceae
Polystichum shensiense,Polystichum,Dryopteridaceae
Polystichum semifertile,Polystichum,Dryopteridaceae
Polystichum scariosum,Polystichum,Dryopteridaceae
Polystichum punctiferum,Polystichum,Dryopteridaceae
Polystichum pseudotsus-simense,Polystichum,Dryopteridaceae
